year,sab_indx
1990,2.391793346
1991,2.487529205
1992,2.145191826
1993,1.81975316
1994,0.219173112
1995,-0.635791925
1996,-0.2256174
1997,-0.427436577
1998,-0.500519974
1999,-0.063911257
2000,-0.940320174
2001,0.371903913
2002,0.291116101
2003,0.079130621
2004,-0.396591433
2005,-0.763608565
2006,-0.974319658
2007,-0.489451687
2008,-0.809047217
2009,-0.863144148
2010,-0.522354585
2011,-0.24219662
2012,-0.598047434
2013,-1.072940711
2014,-1.11169289
2015,-1.167073118
2016,-0.986680442
2017,-0.120291423
2018,0.27485584
2019,0.966515373
2020,0.490948195
2021,0.929788962
2022,0.500537988
2023,-0.057200404
